Year,Term,YearTerm,Subject,Number,Name,Description,Credit Hours,Section Info,Degree Attributes,Schedule Information,CRN,Section,Status Code,Part of Term,Section Title,Section Credit Hours,Section Status,Enrollment Status,Type,Type Code,Start Time,End Time,Days of Week,Room,Building,Instructors
2021,Summer,2021-su,AAS,201,US Racial &amp; Ethnic Politics,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.",3 hours.,"Same as AFRO 201, LLS 201, and PS 201. See PS 201.","Social & Beh Sci - Soc Sci, and Cultural Studies - US Minority course.",,40507,ONL,A,S2,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Steur, J"
2021,Summer,2021-su,ABE,199,Undergraduate Open Seminar,May be repeated to a maximum of 12 hours.,1 TO 5 hours.,May be repeated to a maximum of 12 hours.,,,10141,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ABE,397,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,39506,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ABE,497,Independent Study,"Individual research, special problems, thesis, development or design work under the supervision of a member of the faculty. 1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.",1 TO 4 hours.,1 to 4 undergraduate hours. No graduate credit. May be repeated to a maximum of 8 hours. Prerequisite: Consent of instructor.,,,33767,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ABE,498,Special Topics,Subject offerings of new and developing areas of knowledge in agricultural and biological engineering intended to augment the existing curriculum. See Class Schedule or departmental course information for topics and prerequisites. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,1 to 4 hours.,1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in the same or separate terms if topics vary to a maximum of 16 hours.,,,10169,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ABE,597,Independent Study,Individual investigations or studies of any phases of agricultural engineering selected by the student and approved by the advisor and the faculty member who will supervise the study. May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,1 TO 4 hours.,May be repeated to a maximum of 16 hours. Prerequisite: Consent of instructor.,,,10174,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ABE,599,Thesis Research,Approved for S/U grading only. May be repeated.,0 TO 16 hours.,Approved for S/U grading only. May be repeated.,,,10177,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ACCY,199,Undergraduate Open Seminar,May be repeated.,1 TO 5 hours.,May be repeated.,,,10033,,A,1,,,A,UNKNOWN,Independent Study,IND,ARRANGED,,,,,
2021,Summer,2021-su,ACCY,200,Fundamentals of Accounting,Survey course in the principles of accounting for students registered in schools and colleges other than the College of Business. Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,3 hours.,Credit is not given for both ACCY 200 and either ACCY 201 or ACCY 202. Prerequisite: Sophomore standing.,,,37453,ONL,A,S2,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Silhan, P"
2021,Summer,2021-su,ACCY,202,Accounting and Accountancy II,"Further develops the student's understanding of accrual accounting, the goals and objectives of financial reporting, the information needs of end users, the qualities of useful information, as well as the financial statements and financial statement elements. Students will analyze and record progressively more complex transactions, continuing to take the economic event from inception to reporting. Recurring themes and foundational concepts are emphasized such that students can develop intuition for accounting measurement and reporting. Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.",3 hours.,Credit is not given for both ACCY 202 and ACCY 200. Prerequisite: ACCY 201 or equivalent.,,Students must register for one discussion and one lecture section.,30562,A,A,S2,,,A,UNKNOWN,Online,ONL,ARRANGED,,,,,"Shapland, J"
